Date,Close,High,Low,Open,Volume,MA20,MA50,Daily_Return,Volatility,Lag_1,Lag_2,Lag_3
2020-03-13,67.10293579101562,67.57367559511492,61.06301877546382,63.94538103600016,370732000,70.64275321960449,73.73338989257813,0.11980830894649497,0.055298643781048235,59.92359161376953,66.4897689819336,68.88207244873047
2020-03-16,58.4703483581543,62.542820889319664,57.93684495675963,58.40758108532822,322423600,69.64406681060791,73.45611930847168,-0.12864694116732134,0.06163875642176329,67.10293579101562,59.92359161376953,66.4897689819336
2020-03-17,61.041297912597656,62.187961018540406,57.55060118117008,59.7497875289441,324056000,68.84574527740479,73.24433250427246,0.04397014258740617,0.06290479329221577,58.4703483581543,67.10293579101562,59.92359161376953
2020-03-18,59.5470085144043,60.35088271418024,57.2416040580175,57.88132562490314,300233600,67.91694641113281,72.99124450683594,-0.024479974202595844,0.06272067324207267,61.041297912597656,58.4703483581543,67.10293579101562
2020-03-19,59.09075164794922,61.03646337436918,58.56690646649194,59.72081496454535,271857200,67.00540733337402,72.73582290649414,-0.0076621290949436816,0.06272631043910779,59.5470085144043,61.041297912597656,58.4703483581543
2020-03-20,55.3393440246582,60.79264863512061,55.04000233501268,59.67012006159394,401693200,65.99380664825439,72.3822534942627,-0.06348552893084092,0.06376506651637476,59.09075164794922,59.5470085144043,61.041297912597656
2020-03-23,54.1637077331543,55.16070547027294,51.32480360482342,55.05931643178171,336752800,65.10290756225587,71.9741520690918,-0.021244131317857073,0.06329733184683431,55.3393440246582,59.09075164794922,59.5470085144043
2020-03-24,59.597686767578125,59.79322297879332,56.56083083014149,57.058121363238,287531200,64.60561485290528,71.67135803222656,0.1003250933483939,0.06783091149719316,54.1637077331543,55.3393440246582,59.09075164794922
2020-03-25,59.26938247680664,62.3424476958278,58.97486994131572,60.53192162528101,303602000,64.0367467880249,71.33006385803223,-0.005508675060691859,0.06764468749011707,59.597686767578125,54.1637077331543,55.3393440246582
2020-03-26,62.38833618164063,62.44627067816228,59.47218075604415,59.51080620940923,252087200,63.85473003387451,71.07176399230957,0.052623354158523705,0.06739164292019749,59.26938247680664,59.597686767578125,54.1637077331543
2020-03-27,59.8053092956543,61.76791740598874,59.638740277699725,61.0147396032641,204216800,63.54549217224121,70.76825805664062,-0.04140240057798583,0.06800414974693764,62.38833618164063,59.26938247680664,59.597686767578125
2020-03-30,61.51202392578125,61.68342202785463,60.20603013475776,60.52951361729588,167976400,63.01440277099609,70.48010147094726,0.028537844720267547,0.06466702134352513,59.8053092956543,62.38833618164063,59.26938247680664
2020-03-31,61.386497497558594,63.36600556092488,60.833685075362965,61.70273919270683,197002000,62.59158515930176,70.17262390136719,-0.0020406811581116235,0.06438333556993772,61.51202392578125,59.8053092956543,62.38833618164063
2020-04-01,58.15652084350586,60.04188167908633,57.72682288768837,59.50596558883749,176218400,61.84528713226318,69.81095085144042,-0.05261705400574768,0.0640739620194261,61.386497497558594,61.51202392578125,59.8053092956543
2020-04-02,59.12695693969727,59.18006600388776,57.18848714731951,58.01891576899804,165934000,61.266039276123045,69.4632438659668,0.01668662571481483,0.06408612902175143,58.15652084350586,61.386497497558594,61.51202392578125
