Date,Close,High,Low,Open,Volume
2020-01-02,72.33387756347656,72.39408555090253,71.0911838210517,71.34405442839761,135480400
2020-01-03,71.6306381225586,72.38925722098051,71.40666619485818,71.56320547713457,146322800
2020-01-06,72.20140838623047,72.23994237629597,70.50354624985978,70.75401351048198,118387200
2020-01-07,71.86183166503906,72.46631471524569,71.64267376172208,72.21103349810856,108872000
2020-01-08,73.01781463623047,73.31885447118653,71.56559876638666,71.56559876638666,132079200
2020-01-09,74.56877899169922,74.76144156312063,73.74272737606113,73.99318724898775,170108400
2020-01-10,74.73738861083984,75.30094193802128,74.23646130286748,74.80241795222723,140644800
2020-01-13,76.33409118652344,76.36058652225458,74.93485817482635,75.05287082554342,121532000
2020-01-14,75.30332946777344,76.48100118582082,75.18051017572739,76.27147857331117,161954400
2020-01-15,74.98060607910156,75.98246770801262,74.54951490172726,75.10343270524221,121923600
2020-01-16,75.91985321044922,76.03064118697364,75.16123412136378,75.52248200660513,108829200
2020-01-17,76.7603759765625,76.76277929851412,75.86207008807327,76.16792404225187,137816400
2020-01-21,76.24017333984375,76.8302072165908,76.10289736234121,76.38948797518701,110843200
2020-01-22,76.5123062133789,77.06380603496487,76.4183782339569,76.72423213565071,101832400
2020-01-23,76.88078308105469,76.96025438766408,76.01860061750638,76.56529382668359,104472000
2020-01-24,76.6592025756836,77.8681760847734,76.46894331412666,77.12641705620177,146537600
2020-01-27,74.40503692626953,75.08417746726008,73.42484908589569,74.67235687385795,161940000
2020-01-28,76.50990295410156,76.68089158109271,75.18532722614749,75.28406920782065,162234000
2020-01-29,78.11143493652344,78.95675744540253,77.39857441186852,78.13793027321145,216229200
2020-01-30,77.99823760986328,78.05122092954578,76.76517927864235,77.19627050016777,126743200
2020-01-31,74.5399169921875,77.71167041513803,74.24610164905711,77.29021440201876,199588400
2020-02-03,74.33516693115234,75.49838164593486,72.78420907837199,73.285136141255,173788400
2020-02-04,76.7892837524414,76.9795430880588,75.53214043347742,75.93673642473705,136616400
2020-02-05,77.41542053222656,78.21257356762338,76.81334075627086,77.91393700101683,118826800
2020-02-06,78.32095336914062,78.3233640404218,77.12883967256218,77.68516086755363,105425600
2020-02-07,77.25635528564453,78.06988383321008,76.76630651671353,77.82123854389138,117684000
2020-02-10,77.6233139038086,77.6233139038086,75.76451086097089,75.84417079645658,109348800
2020-02-11,77.15496826171875,78.19059132825674,76.93770658748598,78.11817322586252,94323200
2020-02-12,78.98723602294922,78.99206144129231,77.60399117788235,77.60399117788235,113730400
2020-02-13,78.42474365234375,78.75063980830953,78.05781303227035,78.2605910618148,94747600
2020-02-14,78.44407653808594,78.6927218682662,77.93712767417983,78.39337649475979,80113600
2020-02-18,77.00772857666016,77.18878123005356,75.94796350927948,76.12901616267288,152531200
2020-02-19,78.12298583984375,78.35232207158896,77.24910650127589,77.24910650127589,93984000
2020-02-20,77.321533203125,78.3716398349872,76.81700080414447,77.88400744802773,100566000
2020-02-21,75.57135772705078,77.35774940247184,74.95578178960817,76.91597690115918,129554000
2020-02-24,71.981689453125,73.43011036441114,69.82113268068633,71.75960237227564,222195200
2020-02-25,69.54354095458984,73.03182567603444,69.07280838793456,72.65041125636773,230673600
2020-02-26,70.64674377441406,71.90928692764982,69.16211349223191,69.16935530367469,198054800
2020-02-27,66.02867126464844,69.0413890764873,65.89348591735909,67.85851360418104,320605600
2020-02-28,65.99006652832031,67.20915879544067,61.88862284247871,62.10347552395671,426510000
2020-03-02,72.1338119506836,72.76870462226823,67.04261071140881,68.143410581141,341397200
2020-03-03,69.84284973144531,73.38665070115958,68.99310485052062,73.30699080209732,319475600
2020-03-04,73.08248138427734,73.24180855249296,70.76259766156525,71.5616425276586,219178400
2020-03-05,70.7119140625,72.31241302487865,70.34739243241086,71.33955724756618,187572800
2020-03-06,69.77286529541016,70.20497969740977,67.88992061879122,68.07579869358199,226176800
2020-03-09,64.25437927246094,67.1319051551366,63.48912685930832,63.670179502443226,286744800
2020-03-10,68.88207244873047,69.14761776690831,65.02685833500999,66.9025682079639,285290000
2020-03-11,66.4897689819336,67.88749740945617,65.62795665733853,66.96292517997638,255598800
2020-03-12,59.92359161376953,65.17894700154001,59.86806983845157,61.7848142766757,418474000
2020-03-13,67.10293579101562,67.57367559511492,61.06301877546382,63.94538103600016,370732000
2020-03-16,58.4703483581543,62.542820889319664,57.93684495675963,58.40758108532822,322423600
2020-03-17,61.041297912597656,62.187961018540406,57.55060118117008,59.7497875289441,324056000
2020-03-18,59.5470085144043,60.35088271418024,57.2416040580175,57.88132562490314,300233600
2020-03-19,59.09075164794922,61.03646337436918,58.56690646649194,59.72081496454535,271857200
2020-03-20,55.3393440246582,60.79264863512061,55.04000233501268,59.67012006159394,401693200
2020-03-23,54.1637077331543,55.16070547027294,51.32480360482342,55.05931643178171,336752800
2020-03-24,59.597686767578125,59.79322297879332,56.56083083014149,57.058121363238,287531200
2020-03-25,59.26938247680664,62.3424476958278,58.97486994131572,60.53192162528101,303602000
2020-03-26,62.38833618164063,62.44627067816228,59.47218075604415,59.51080620940923,252087200
2020-03-27,59.8053092956543,61.76791740598874,59.638740277699725,61.0147396032641,204216800
2020-03-30,61.51202392578125,61.68342202785463,60.20603013475776,60.52951361729588,167976400
2020-03-31,61.386497497558594,63.36600556092488,60.833685075362965,61.70273919270683,197002000
2020-04-01,58.15652084350586,60.04188167908633,57.72682288768837,59.50596558883749,176218400
2020-04-02,59.12695693969727,59.18006600388776,57.18848714731951,58.01891576899804,165934000
2020-04-03,58.277225494384766,59.31284498948773,57.68820030765842,58.61277624472143,129880000
2020-04-06,63.36118698120117,63.515681414819454,60.20121554945302,60.568146275466354,201820400
2020-04-07,62.6273193359375,65.5893455207901,62.52351758063344,65.3720764386448,202887200
2020-04-08,64.23023223876953,64.54405384793799,63.06184016051964,63.42635444288139,168895200
2020-04-09,64.69373321533203,65.19585671097452,63.89952086210519,64.86513503536223,161834800
2020-04-13,65.96350860595703,66.07214313145124,64.17229133387406,64.77097468626023,131022800
2020-04-14,69.29488372802734,69.58457092501276,67.12225185179103,67.59299170512948,194994800
2020-04-15,68.6623764038086,69.12104145125336,67.74504630891909,68.17232773147242,131154400
2020-04-16,69.20799255371094,69.57251431493546,68.1603019063984,69.37456161234648,157125200
2020-04-17,68.2688980102539,69.27072829912615,66.83496081662895,68.72515410233876,215250000
2020-04-20,66.85186004638672,67.9985265094596,66.83255101061553,67.09809629652644,130015200
2020-04-21,64.78545379638672,66.92911797835283,64.07572694243713,66.69495629705587,180991600
2020-04-22,66.65150451660156,67.08602784822331,65.71003238672124,66.05040482183006,116862400
2020-04-23,66.3932113647461,68.0154433517939,66.35458591659604,66.59598944224571,124814400
