ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2020-01-02,65.3704091175061,64.74289250778817,81.35551601672553,65.3704091175061,65.3704091175061,7.397661448294662,7.397661448294662,7.397661448294662,-1.3636887768308956,-1.3636887768308956,-1.3636887768308956,8.761350225125558,8.761350225125558,8.761350225125558,0.0,0.0,0.0,72.76807056580076
2020-01-03,65.52757839481536,64.98579726971941,80.86728114314234,65.52757839481536,65.52757839481536,7.206141876726568,7.206141876726568,7.206141876726568,-1.2444231541302333,-1.2444231541302333,-1.2444231541302333,8.4505650308568,8.4505650308568,8.4505650308568,0.0,0.0,0.0,72.73372027154193
2020-01-06,65.99908622674315,63.61246812870122,80.85468496079132,65.99908622674315,65.99908622674315,6.4515408093497175,6.4515408093497175,6.4515408093497175,-1.1144795683824604,-1.1144795683824604,-1.1144795683824604,7.566020377732178,7.566020377732178,7.566020377732178,0.0,0.0,0.0,72.45062703609287
2020-01-07,66.15625550405241,64.15965885693743,80.26247674854784,66.15625550405241,66.15625550405241,6.132083971669289,6.132083971669289,6.132083971669289,-1.1667503843726164,-1.1667503843726164,-1.1667503843726164,7.298834356041905,7.298834356041905,7.298834356041905,0.0,0.0,0.0,72.2883394757217
2020-01-08,66.31342478136168,63.9179920212133,80.18378182271437,66.31342478136168,66.31342478136168,5.78532163057689,5.78532163057689,5.78532163057689,-1.2655538951696248,-1.2655538951696248,-1.2655538951696248,7.050875525746515,7.050875525746515,7.050875525746515,0.0,0.0,0.0,72.09874641193856
2020-01-09,66.47059405867094,64.21214902279083,80.10888191861027,66.47059405867094,66.47059405867094,5.461304732688678,5.461304732688678,5.461304732688678,-1.3636887768320607,-1.3636887768320607,-1.3636887768320607,6.8249935095207395,6.8249935095207395,6.8249935095207395,0.0,0.0,0.0,71.93189879135961
2020-01-10,66.6277633359802,63.73789778556126,80.40850432068964,66.6277633359802,66.6277633359802,5.3792885255560465,5.3792885255560465,5.3792885255560465,-1.2444231541431754,-1.2444231541431754,-1.2444231541431754,6.623711679699222,6.623711679699222,6.623711679699222,0.0,0.0,0.0,72.00705186153625
2020-01-13,67.09927116790799,64.29128968553486,80.0644196655523,67.09927116790799,67.09927116790799,5.0724417930219134,5.0724417930219134,5.0724417930219134,-1.1144795683824023,-1.1144795683824023,-1.1144795683824023,6.186921361404315,6.186921361404315,6.186921361404315,0.0,0.0,0.0,72.1717129609299
2020-01-14,67.25644044521725,64.07506890417213,80.97035116351618,67.25644044521725,67.25644044521725,4.934566528440455,4.934566528440455,4.934566528440455,-1.1667503843731577,-1.1667503843731577,-1.1667503843731577,6.101316912813613,6.101316912813613,6.101316912813613,0.0,0.0,0.0,72.19100697365771
2020-01-15,67.41360972252652,63.75372749972822,80.79181032531913,67.41360972252652,67.41360972252652,4.781120195548411,4.781120195548411,4.781120195548411,-1.2655538951691627,-1.2655538951691627,-1.2655538951691627,6.046674090717573,6.046674090717573,6.046674090717573,0.0,0.0,0.0,72.19472991807493
2020-01-16,67.57077899983578,63.871381298746215,80.7804775862579,67.57077899983578,67.57077899983578,4.659128326323576,4.659128326323576,4.659128326323576,-1.3636887768332258,-1.3636887768332258,-1.3636887768332258,6.022817103156802,6.022817103156802,6.022817103156802,0.0,0.0,0.0,72.22990732615936
2020-01-17,67.72794827714505,63.85568967814082,81.23428505625965,67.72794827714505,67.72794827714505,4.784628221591195,4.784628221591195,4.784628221591195,-1.2444231541342443,-1.2444231541342443,-1.2444231541342443,6.029051375725439,6.029051375725439,6.029051375725439,0.0,0.0,0.0,72.51257649873624
2020-01-21,68.35662538638209,65.84404380079457,82.22253514923688,68.35662538638209,68.35662538638209,5.156234814230158,5.156234814230158,5.156234814230158,-1.1667503843736993,-1.1667503843736993,-1.1667503843736993,6.322985198603857,6.322985198603857,6.322985198603857,0.0,0.0,0.0,73.51286020061225
2020-01-22,68.51379466369136,65.60640426670243,82.12152112842614,68.51379466369136,68.51379466369136,5.185869766787701,5.185869766787701,5.185869766787701,-1.265553895169241,-1.265553895169241,-1.265553895169241,6.451423661956942,6.451423661956942,6.451423661956942,0.0,0.0,0.0,73.69966443047906
2020-01-23,68.67096394100062,65.55667321452178,81.74519373239025,68.67096394100062,68.67096394100062,5.2316504389957075,5.2316504389957075,5.2316504389957075,-1.363688776834391,-1.363688776834391,-1.363688776834391,6.595339215830099,6.595339215830099,6.595339215830099,0.0,0.0,0.0,73.90261437999632
2020-01-24,68.82813321830987,66.49255409606573,82.36908486637763,68.82813321830987,68.82813321830987,5.506362124984269,5.506362124984269,5.506362124984269,-1.2444231541341537,-1.2444231541341537,-1.2444231541341537,6.750785279118423,6.750785279118423,6.750785279118423,0.0,0.0,0.0,74.33449534329414
2020-01-27,69.29964105023767,66.94119621943952,83.39394590892319,69.29964105023767,69.29964105023767,6.127836746276926,6.127836746276926,6.127836746276926,-1.1144795683882642,-1.1144795683882642,-1.1144795683882642,7.2423163146651905,7.2423163146651905,7.2423163146651905,0.0,0.0,0.0,75.4274777965146
2020-01-28,69.45681032754693,67.60838188578688,83.60845859970856,69.45681032754693,69.45681032754693,6.232040306620083,6.232040306620083,6.232040306620083,-1.1667503843708864,-1.1667503843708864,-1.1667503843708864,7.398790690990968,7.398790690990968,7.398790690990968,0.0,0.0,0.0,75.68885063416701
2020-01-29,69.6139796048562,68.010629443352,84.11367824487316,69.6139796048562,69.6139796048562,6.277814300997588,6.277814300997588,6.277814300997588,-1.2655538951693863,-1.2655538951693863,-1.2655538951693863,7.543368196166974,7.543368196166974,7.543368196166974,0.0,0.0,0.0,75.89179390585379
2020-01-30,69.77114888216546,68.15535943071518,83.30029251554727,69.77114888216546,69.77114888216546,6.307378688710495,6.307378688710495,6.307378688710495,-1.3636887768339392,-1.3636887768339392,-1.3636887768339392,7.671067465544434,7.671067465544434,7.671067465544434,0.0,0.0,0.0,76.07852757087596
2020-01-31,69.92831815947471,68.03702187227364,85.13966114619537,69.92831815947471,69.92831815947471,6.532547519570636,6.532547519570636,6.532547519570636,-1.2444231541441495,-1.2444231541441495,-1.2444231541441495,7.776970673714786,7.776970673714786,7.776970673714786,0.0,0.0,0.0,76.46086567904536
2020-02-03,70.39982599140251,68.28347450945628,85.12346621872797,70.39982599140251,70.39982599140251,6.802713873839291,6.802713873839291,6.802713873839291,-1.1144795683788005,-1.1144795683788005,-1.1144795683788005,7.9171934422180925,7.9171934422180925,7.9171934422180925,0.0,0.0,0.0,77.2025398652418
2020-02-04,70.55699526871177,68.99980746767145,85.51639335720776,70.55699526871177,70.55699526871177,6.723769135087007,6.723769135087007,6.723769135087007,-1.1667503843714282,-1.1667503843714282,-1.1667503843714282,7.890519519458435,7.890519519458435,7.890519519458435,0.0,0.0,0.0,77.28076440379878
2020-02-05,70.71416454602104,69.13561549851877,85.27357031471158,70.71416454602104,70.71416454602104,6.555352859279359,6.555352859279359,6.555352859279359,-1.2655538951694645,-1.2655538951694645,-1.2655538951694645,7.820906754448824,7.820906754448824,7.820906754448824,0.0,0.0,0.0,77.26951740530039
2020-02-06,70.87133382333029,69.03445429373795,85.48858519897412,70.87133382333029,70.87133382333029,6.341595326997581,6.341595326997581,6.341595326997581,-1.3636887768307144,-1.3636887768307144,-1.3636887768307144,7.705284103828295,7.705284103828295,7.705284103828295,0.0,0.0,0.0,77.21292915032787
2020-02-07,71.02850310063955,68.85645149181094,85.24157141121108,71.02850310063955,71.02850310063955,6.296680173996187,6.296680173996187,6.296680173996187,-1.2444231541440591,-1.2444231541440591,-1.2444231541440591,7.541103328140246,7.541103328140246,7.541103328140246,0.0,0.0,0.0,77.32518327463575
2020-02-10,71.50001093256735,69.20069482398439,84.98115004582588,71.50001093256735,71.50001093256735,5.626022227625835,5.626022227625835,5.626022227625835,-1.1144795683817315,-1.1144795683817315,-1.1144795683817315,6.740501796007567,6.740501796007567,6.740501796007567,0.0,0.0,0.0,77.12603316019319
2020-02-11,71.65718020987661,68.61894072458632,85.50872819418682,71.65718020987661,71.65718020987661,5.2017868172493635,5.2017868172493635,5.2017868172493635,-1.1667503843744442,-1.1667503843744442,-1.1667503843744442,6.368537201623808,6.368537201623808,6.368537201623808,0.0,0.0,0.0,76.85896702712597
2020-02-12,71.81434948718586,68.84590663740708,84.71568372781265,71.81434948718586,71.81434948718586,4.678920105737906,4.678920105737906,4.678920105737906,-1.265553895169543,-1.265553895169543,-1.265553895169543,5.944474000907449,5.944474000907449,5.944474000907449,0.0,0.0,0.0,76.49326959292377
2020-02-13,71.97151876449513,68.33057594646185,84.56160708448414,71.97151876449513,71.97151876449513,4.10590563396177,4.10590563396177,4.10590563396177,-1.363688776830263,-1.363688776830263,-1.363688776830263,5.469594410792033,5.469594410792033,5.469594410792033,0.0,0.0,0.0,76.0774243984569
2020-02-14,72.1286880418044,67.67038933291866,84.0316880661669,72.1286880418044,72.1286880418044,3.701426053516126,3.701426053516126,3.701426053516126,-1.244423154141022,-1.244423154141022,-1.244423154141022,4.945849207657147,4.945849207657147,4.945849207657147,0.0,0.0,0.0,75.83011409532052
2020-02-18,72.75736515104144,66.33176208496693,81.82220479960708,72.75736515104144,72.75736515104144,1.2565814331470104,1.2565814331470104,1.2565814331470104,-1.1667503843749862,-1.1667503843749862,-1.1667503843749862,2.4233318175219964,2.4233318175219964,2.4233318175219964,0.0,0.0,0.0,74.01394658418845
2020-02-19,72.9145344283507,65.29518360323104,81.74279568143314,72.9145344283507,72.9145344283507,0.4405388137749381,0.4405388137749381,0.4405388137749381,-1.265553895169688,-1.265553895169688,-1.265553895169688,1.7060927089446263,1.7060927089446263,1.7060927089446263,0.0,0.0,0.0,73.35507324212564
2020-02-20,73.07170370565997,64.24790256356107,80.82218602234114,73.07170370565997,73.07170370565997,-0.3996616054113033,-0.3996616054113033,-0.3996616054113033,-1.3636887768346617,-1.3636887768346617,-1.3636887768346617,0.9640271714233583,0.9640271714233583,0.9640271714233583,0.0,0.0,0.0,72.67204210024867
2020-02-21,73.22887298296924,63.94889791420535,81.06640077222379,73.22887298296924,73.22887298296924,-1.0417049320066007,-1.0417049320066007,-1.0417049320066007,-1.2444231541379847,-1.2444231541379847,-1.2444231541379847,0.20271822213138385,0.20271822213138385,0.20271822213138385,0.0,0.0,0.0,72.18716805096264
2020-02-24,73.70038081489703,61.360115475263406,79.04634415374251,73.70038081489703,73.70038081489703,-3.2518254286361845,-3.2518254286361845,-3.2518254286361845,-1.1144795683846045,-1.1144795683846045,-1.1144795683846045,-2.13734586025158,-2.13734586025158,-2.13734586025158,0.0,0.0,0.0,70.44855538626085
2020-02-25,73.85755009220628,61.74219797324033,77.74437641613534,73.85755009220628,73.85755009220628,-4.082483446394323,-4.082483446394323,-4.082483446394323,-1.1667503843738503,-1.1667503843738503,-1.1667503843738503,-2.9157330620204727,-2.9157330620204727,-2.9157330620204727,0.0,0.0,0.0,69.77506664581196
2020-02-26,74.01471936951555,61.204293400893995,77.51769034378574,74.01471936951555,74.01471936951555,-4.948704341704249,-4.948704341704249,-4.948704341704249,-1.2655538951697667,-1.2655538951697667,-1.2655538951697667,-3.6831504465344818,-3.6831504465344818,-3.6831504465344818,0.0,0.0,0.0,69.0660150278113
2020-02-27,74.17188864682481,59.89187435022025,76.46914616367978,74.17188864682481,74.17188864682481,-5.797392478096775,-5.797392478096775,-5.797392478096775,-1.36368877682982,-1.36368877682982,-1.36368877682982,-4.433703701266954,-4.433703701266954,-4.433703701266954,0.0,0.0,0.0,68.37449616872803
2020-02-28,74.32905792413408,59.78320338238851,76.66167976465712,74.32905792413408,74.32905792413408,-6.406173614761698,-6.406173614761698,-6.406173614761698,-1.2444231541349475,-1.2444231541349475,-1.2444231541349475,-5.161750460626751,-5.161750460626751,-5.161750460626751,0.0,0.0,0.0,67.92288430937238
2020-03-02,74.80056575606186,58.08705446975167,75.32134311033941,74.80056575606186,74.80056575606186,-8.274355342274252,-8.274355342274252,-8.274355342274252,-1.114479568390524,-1.114479568390524,-1.114479568390524,-7.159875773883727,-7.159875773883727,-7.159875773883727,0.0,0.0,0.0,66.52621041378761
2020-03-03,74.95773514994966,57.70248793750538,74.39374257041017,74.95773514994966,74.95773514994966,-8.915985530161601,-8.915985530161601,-8.915985530161601,-1.166750384372715,-1.166750384372715,-1.166750384372715,-7.749235145788887,-7.749235145788887,-7.749235145788887,0.0,0.0,0.0,66.04174961978805
2020-03-04,75.11490454383745,57.16006531048617,74.09661564901741,75.11490454383745,75.11490454383745,-9.559838761359305,-9.559838761359305,-9.559838761359305,-1.2655538951693048,-1.2655538951693048,-1.2655538951693048,-8.29428486619,-8.29428486619,-8.29428486619,0.0,0.0,0.0,65.55506578247815
2020-03-05,75.27207393772525,56.998513137937266,73.2278507534451,75.27207393772525,75.27207393772525,-10.156056741867717,-10.156056741867717,-10.156056741867717,-1.363688776830985,-1.363688776830985,-1.363688776830985,-8.792367965036732,-8.792367965036732,-8.792367965036732,0.0,0.0,0.0,65.11601719585754
2020-03-06,75.42924333161304,57.00328178081288,73.06834064689379,75.42924333161304,75.42924333161304,-10.485915272171694,-10.485915272171694,-10.485915272171694,-1.244423154134857,-1.244423154134857,-1.244423154134857,-9.241492118036836,-9.241492118036836,-9.241492118036836,0.0,0.0,0.0,64.94332805944134
2020-03-09,75.90075151327645,56.02571630959151,72.63863822857567,75.90075151327645,75.90075151327645,-11.399968342784977,-11.399968342784977,-11.399968342784977,-1.1144795683780715,-1.1144795683780715,-1.1144795683780715,-10.285488774406906,-10.285488774406906,-10.285488774406906,0.0,0.0,0.0,64.50078317049147
2020-03-10,76.05792090716423,55.582905262041926,72.72849968412422,76.05792090716423,76.05792090716423,-11.699339400836564,-11.699339400836564,-11.699339400836564,-1.166750384371579,-1.166750384371579,-1.166750384371579,-10.532589016464984,-10.532589016464984,-10.532589016464984,0.0,0.0,0.0,64.35858150632767
2020-03-11,76.21509030105203,56.59148147984253,72.34967120183244,76.21509030105203,76.21509030105203,-11.996569520232134,-11.996569520232134,-11.996569520232134,-1.265553895169383,-1.265553895169383,-1.265553895169383,-10.731015625062751,-10.731015625062751,-10.731015625062751,0.0,0.0,0.0,64.2185207808199
2020-03-12,76.37225969493983,55.146279150055165,72.57244927034394,76.37225969493983,76.37225969493983,-12.246455813637104,-12.246455813637104,-12.246455813637104,-1.3636887768305335,-1.3636887768305335,-1.3636887768305335,-10.88276703680657,-10.88276703680657,-10.88276703680657,0.0,0.0,0.0,64.12580388130273
2020-03-13,76.52942908882763,55.996894866691015,72.37866835413423,76.52942908882763,76.52942908882763,-12.23482433931814,-12.23482433931814,-12.23482433931814,-1.2444231541288726,-1.2444231541288726,-1.2444231541288726,-10.990401185189265,-10.990401185189265,-10.990401185189265,0.0,0.0,0.0,64.29460474950949
2020-03-16,77.00093727049101,56.58719930099256,73.08805621475214,77.00093727049101,77.00093727049101,-12.19579802295381,-12.19579802295381,-12.19579802295381,-1.1144795683810025,-1.1144795683810025,-1.1144795683810025,-11.081318454572807,-11.081318454572807,-11.081318454572807,0.0,0.0,0.0,64.8051392475372
2020-03-17,77.1581066643788,56.91523609901254,72.3906396664863,77.1581066643788,77.1581066643788,-12.213847828123946,-12.213847828123946,-12.213847828123946,-1.1667503843721203,-1.1667503843721203,-1.1667503843721203,-11.047097443751824,-11.047097443751824,-11.047097443751824,0.0,0.0,0.0,64.94425883625486
2020-03-18,77.31527605826662,56.9081921113834,73.09344740113954,77.31527605826662,77.31527605826662,-12.253248774063113,-12.253248774063113,-12.253248774063113,-1.2655538951695282,-1.2655538951695282,-1.2655538951695282,-10.987694878893585,-10.987694878893585,-10.987694878893585,0.0,0.0,0.0,65.06202728420351
2020-03-19,77.47244545215442,57.19089892317627,73.40159309903228,77.47244545215442,77.47244545215442,-12.271288038671507,-12.271288038671507,-12.271288038671507,-1.3636887768300816,-1.3636887768300816,-1.3636887768300816,-10.907599261841424,-10.907599261841424,-10.907599261841424,0.0,0.0,0.0,65.20115741348292
2020-03-20,77.6296148460422,57.18828583848833,73.73676114399623,77.6296148460422,77.6296148460422,-12.055766856119748,-12.055766856119748,-12.055766856119748,-1.2444231541418154,-1.2444231541418154,-1.2444231541418154,-10.811343701977933,-10.811343701977933,-10.811343701977933,0.0,0.0,0.0,65.57384798992246
2020-03-23,78.1011230277056,58.91209510240194,74.97755402324636,78.1011230277056,78.1011230277056,-11.584421799614526,-11.584421799614526,-11.584421799614526,-1.1144795683809445,-1.1144795683809445,-1.1144795683809445,-10.469942231233583,-10.469942231233583,-10.469942231233583,0.0,0.0,0.0,66.51670122809107
2020-03-24,78.2582924215934,58.1299213018332,74.70166650881218,78.2582924215934,78.2582924215934,-11.51926474317494,-11.51926474317494,-11.51926474317494,-1.166750384369307,-1.166750384369307,-1.166750384369307,-10.352514358805633,-10.352514358805633,-10.352514358805633,0.0,0.0,0.0,66.73902767841845
2020-03-25,78.4154618154812,58.625480178073765,75.171660029471,78.4154618154812,78.4154618154812,-11.505122638357822,-11.505122638357822,-11.505122638357822,-1.2655538951690661,-1.2655538951690661,-1.2655538951690661,-10.239568743188757,-10.239568743188757,-10.239568743188757,0.0,0.0,0.0,66.91033917712338
